"actor_id","full_name","film_id","title","release_year","language"
1,"Penelope Guiness",1,"Academy Dinosaur",2006,"English             "
1,"Penelope Guiness",23,"Anaconda Confessions",2006,"English             "
1,"Penelope Guiness",25,"Angels Life",2006,"English             "
1,"Penelope Guiness",106,"Bulworth Commandments",2006,"English             "
1,"Penelope Guiness",140,"Cheaper Clyde",2006,"English             "
1,"Penelope Guiness",166,"Color Philadelphia",2006,"English             "
1,"Penelope Guiness",277,"Elephant Trojan",2006,"English             "
1,"Penelope Guiness",361,"Gleaming Jawbreaker",2006,"English             "
1,"Penelope Guiness",438,"Human Graffiti",2006,"English             "
1,"Penelope Guiness",499,"King Evolution",2006,"English             "
1,"Penelope Guiness",506,"Lady Stage",2006,"English             "
1,"Penelope Guiness",509,"Language Cowboy",2006,"English             "
1,"Penelope Guiness",605,"Mulholland Beast",2006,"English             "
1,"Penelope Guiness",635,"Oklahoma Jumanji",2006,"English             "
1,"Penelope Guiness",749,"Rules Human",2006,"English             "
1,"Penelope Guiness",832,"Splash Gump",2006,"English             "
1,"Penelope Guiness",939,"Vertigo Northwest",2006,"English             "
1,"Penelope Guiness",970,"Westward Seabiscuit",2006,"English             "
1,"Penelope Guiness",980,"Wizard Coldblooded",2006,"English             "
2,"Nick Wahlberg",3,"Adaptation Holes",2006,"English             "
2,"Nick Wahlberg",31,"Apache Divine",2006,"English             "
2,"Nick Wahlberg",47,"Baby Hall",2006,"English             "
2,"Nick Wahlberg",105,"Bull Shawshank",2006,"English             "
2,"Nick Wahlberg",132,"Chainsaw Uptown",2006,"English             "
2,"Nick Wahlberg",145,"Chisum Behavior",2006,"English             "
2,"Nick Wahlberg",226,"Destiny Saturday",2006,"English             "
2,"Nick Wahlberg",249,"Dracula Crystal",2006,"English             "
2,"Nick Wahlberg",314,"Fight Jawbreaker",2006,"English             "
2,"Nick Wahlberg",321,"Flash Wars",2006,"English             "
2,"Nick Wahlberg",357,"Gilbert Pelican",2006,"English             "
2,"Nick Wahlberg",369,"Goodfellas Salute",2006,"English             "
2,"Nick Wahlberg",399,"Happiness United",2006,"English             "
